Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Sales,Rating,Outlet Age
Low Fat,FDV45,Snack Foods,2018,OUT019,Tier 1,Small,Supermarket Type1,0.078872251,12.867122940430924,189.5556,4.0,8
Low Fat,NCZ54,Household,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.082955719,12.867122940430924,164.0552,2.8,8
Regular,FDS16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066446521,15.15,147.976,4.0,4
Regular,FDX03,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.061045133,15.85,44.7744,4.0,12
Low Fat,DRH13,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023885957,8.575,106.628,4.0,10
Regular,FDE23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.053481818,17.6,47.806,4.0,6
Low Fat,FDH48,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.105893301,12.867122940430924,86.254,4.0,8
Low Fat,FDU38,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.138171603,10.8,191.4504,3.2,15
Regular,FDR57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.023492524,5.675,155.5288,4.0,9
Low Fat,FDZ04,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.063529046,9.31,63.751,4.1,15
Low Fat,FDP19,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,11.5,129.3652,4.0,12
Low Fat,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047220268,5.305,181.9608,4.3,4
Regular,FDZ03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.13187274,13.65,188.024,4.1,15
Low Fat,FDG53,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.045818773,10.0,138.718,4.0,12
Low Fat,FDF04,Frozen Foods,2018,OUT017,Tier 2,Small,Supermarket Type1,0.013714183,17.5,259.2304,4.0,8
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044607722,12.867122940430924,145.976,5.0,8
Low Fat,FDC35,Starchy Foods,2018,OUT045,Tier 2,Medium,Supermarket Type1,0.123086812,7.435,206.9638,4.0,8
Low Fat,FDQ09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058369013,7.235,115.2834,2.8,4
Regular,DRC01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.019107027,12.867122940430924,48.4692,3.7,8
Low Fat,FDD58,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.059341019,7.76,99.77,3.9985355648535563,9
Regular,FDI22,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05934663,20.5,192.0478,4.0,14
LF,FDI22,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.007279889,11.3,199.3426,3.4,10
Regular,FDG12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.006351876,6.635,143.9786,4.0,4
Low Fat,FDB17,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.064208126,12.867122940430924,180.1976,4.0,8
Regular,FDL52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046090204,6.635,37.1506,2.6,10
Low Fat,FDX21,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.1422157,7.05,108.7912,4.0,15
Regular,FDG08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.165221717,13.15,172.0764,1.0,12
Low Fat,NCO02,Others,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05934663,11.15,65.9142,4.3,11
Regular,FDX32,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.0,15.1,146.2786,4.2,15
Low Fat,NCL42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.040338009,12.867122940430924,246.7144,3.7,12
Regular,FDZ32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038288087,7.785,103.1964,3.0,4
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067730081,7.81,242.6486,4.3,4
Regular,FDV48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.051573903,9.195,79.8644,4.2,12
Regular,FDZ25,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.027594064,15.7,171.179,4.0,12
Low Fat,FDS12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.173973652,9.1,143.9786,4.0,12
reg,FDH28,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.192650072,12.867122940430924,143.9786,4.0,8
Low Fat,FDX34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.071636937,12.867122940430924,121.7098,4.0,8
LF,FDJ32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057792343,10.695,61.4536,3.9,10
Low Fat,NCQ06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.073229342,12.867122940430924,143.9786,4.5,8
Low Fat,FDS14,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,7.285,143.9786,4.0,6
Regular,FDN39,Meat,2011,OUT013,Tier 3,High,Supermarket Type1,0.109667698,19.35,143.9786,3.9985355648535563,15
Low Fat,FDK43,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.046994717,12.867122940430924,125.802,4.4,8
Low Fat,FDR31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04923932,6.46,144.4102,3.9985355648535563,14
Low Fat,NCX18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.008811818,14.15,196.511,4.0,11
Low Fat,FDY59,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.031377308,8.195,93.6462,4.0,12
LF,FDD02,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,16.6,118.8124,3.9,10
Regular,FDP59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.056695731,20.85,104.0648,4.0,4
Regular,FDY24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05934663,4.88,52.9298,4.0,14
Low Fat,FDV23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.105324246,12.867122940430924,125.7046,3.5,8
Low Fat,NCN06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05934663,8.39,162.2868,4.0,10
Low Fat,FDB15,Dairy,2018,OUT010,Tier 3,Medium,Grocery Store,0.228993134,10.895,263.4568,4.0,8
Low Fat,FDI22,Hard Drinks,2018,OUT046,Tier 1,Small,Supermarket Type1,0.162980276,7.85,145.2444,4.4,8
Low Fat,DRH25,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.014675574,18.7,50.8324,4.0,6
Low Fat,FDS37,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031994534,7.655,114.3492,4.0,14
Low Fat,FDJ44,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.17797002,12.3,173.1396,1.0,15
Regular,FDH45,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.185008985,12.867122940430924,42.3796,4.2,8
Low Fat,DRH15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,8.775,45.9428,4.2,12
Low Fat,FDO38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072952298,17.25,76.0986,4.0,14
Low Fat,DRB25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069742672,12.3,106.2938,4.0,4
Low Fat,FDK33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.011233126,17.85,143.9786,3.2,9
Regular,FDW44,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.058835928,9.5,170.2448,4.0,15
Regular,FDQ31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054066567,5.785,87.0856,3.8,4
Regular,FDO10,Snack Foods,2018,OUT013,Tier 3,Medium,Supermarket Type1,0.012741089,12.867122940430924,143.9786,3.6,8
Low Fat,FDL44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.012264903,18.25,162.8894,3.9985355648535563,12
Regular,FDW22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030413777,9.695,221.3114,2.7,4
Regular,FDQ31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053930934,5.785,87.3856,2.9,14
Low Fat,FDC04,Dairy,2018,OUT018,Tier 3,Medium,Supermarket Type2,0.045168898,15.6,242.9854,3.9985355648535563,8
Low Fat,FDX21,Snack Foods,2016,OUT013,Tier 1,Small,Supermarket Type1,0.084966021,7.05,111.1912,3.6,10
Regular,FDW55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,12.6,248.8092,4.2,9
Regular,FDN46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.05934663,7.21,103.1332,4.4,6
Low Fat,FDM03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.867122940430924,109.1938,4.6,8
Regular,FDB49,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.052791124,12.867122940430924,98.5384,4.1,8
low fat,FDG26,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.042736348,18.85,255.933,4.3,11
Low Fat,FDI22,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.161039887,12.6,210.2612,4.0,15
Low Fat,DRG03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.061986574,14.5,153.0998,4.1,10
Low Fat,FDZ09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.104791689,12.867122940430924,165.2868,4.4,12
Regular,FDE17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.054410179,20.1,151.3366,4.3,12
Low Fat,NCL55,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06464846,12.15,143.9786,4.0,9
Low Fat,NCA06,Household,2018,OUT013,Tier 3,High,Supermarket Type1,0.143164371,20.5,34.919,4.3,8
LF,DRI25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.034093203,19.6,56.6614,4.0,6
Regular,FDW51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094807042,6.155,213.356,4.4,14
Low Fat,NCN42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.014251461,20.25,148.6418,4.1,11
Regular,FDP31,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.162418495,21.1,64.9168,4.0,6
Low Fat,FDU40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.062606583,20.85,192.2478,4.5,15
Low Fat,FDQ58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,7.315,153.734,4.0,9
Low Fat,FDR02,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.022110425,16.7,110.8886,4.3,11
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764,5.0,4
Low Fat,NCV06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.066625843,11.3,194.2478,4.1,12
Low Fat,FDD17,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.054610829,7.5,237.1906,4.0,15
Regular,FDO15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.008579863,16.75,72.3038,4.0,14
Low Fat,NCL19,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015676231,15.35,144.047,2.0,10
Low Fat,NCL06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.120624771,14.65,261.7594,3.9985355648535563,15
Low Fat,FDI19,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.087604871,15.1,143.9786,4.0,15
Low Fat,FDE44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.172357491,14.65,50.8692,4.0,6
Low Fat,FDY19,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.041330512,19.75,115.8466,4.0,12
Regular,FDM15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057421582,12.867122940430924,149.9366,3.8,10
Regular,FDT52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047503318,9.695,244.6144,4.0,14
Low Fat,FDT46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.030869612,11.35,49.8008,4.0,11
Low Fat,DRK37,Soft Drinks,2018,OUT019,Tier 1,Small,Supermarket Type1,0.077046505,12.867122940430924,189.453,4.0,8
Regular,FDW39,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.064625342,12.867122940430924,176.937,4.2,8
Low Fat,DRM48,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.112349962,12.867122940430924,39.1848,4.0,8
Low Fat,NCE54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02695441,20.7,73.2354,1.7,11
Low Fat,NCW41,Health and Hygiene,2015,OUT013,Tier 2,Small,Supermarket Type1,0.01548171,18.0,159.3604,4.2,11
Low Fat,FDG57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07229836,14.7,48.2034,4.3,10
Low Fat,FDI22,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046142232,4.92,199.1084,3.9,4
Regular,FDW26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.179191782,11.8,224.2772,4.3,15
Low Fat,DRJ24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11350542,11.8,186.8924,4.0,14
Low Fat,FDK44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.122204371,16.6,173.5738,4.1,9
Regular,FDY15,Dairy,2018,OUT035,Tier 2,Small,Supermarket Type1,0.170795745,18.25,154.463,4.2,8
Low Fat,NCW17,Health and Hygiene,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.019292355,12.867122940430924,129.9994,4.0,8
Regular,FDX12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.043626605,18.2,143.9786,4.1,15
Low Fat,FDD16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.060847634,20.5,75.0696,4.6,15
Low Fat,NCE07,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.013066448,12.867122940430924,140.9154,3.9,8
Low Fat,FDM44,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.051970788,12.5,103.699,4.0,15
Regular,FDT51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.010963269,11.65,110.9544,4.0,4
Low Fat,NCQ05,Health and Hygiene,2018,OUT019,Tier 3,Small,Grocery Store,0.037829469,12.867122940430924,151.0708,4.0,8
Low Fat,FDD58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.059352241,7.76,101.87,3.9,10
Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016802225,17.5,138.518,4.3,4
Low Fat,DRN37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.096217262,9.6,168.5158,4.0,12
Regular,FDV26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076470697,20.25,196.1794,4.0,4
Low Fat,NCF06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.033807904,6.235,258.9962,4.4,15
Low Fat,NCS42,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.069416467,8.6,92.5146,4.0,10
Low Fat,FDZ15,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.020769677,12.867122940430924,117.5782,4.0,8
Low Fat,NCR06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.006759519,12.5,42.8112,4.0,12
Low Fat,DRI03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,6.03,175.1028,4.7,14
Low Fat,FDV45,Snack Foods,2016,OUT046,Tier 1,Medium,Supermarket Type1,0.045047439,16.75,186.4556,3.5,10
Regular,FDU44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058516562,12.15,164.1552,4.0,14
Low Fat,FDR21,Fruits and Vegetables,2020,OUT017,Tier 3,High,Supermarket Type1,0.067314073,19.7,175.137,3.3,6
Low Fat,DRB24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.020693619,8.785,153.1656,4.0,6
Regular,FDI22,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.046680961,12.867122940430924,121.9388,4.0,14
Low Fat,NCZ06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.094083303,19.6,252.2698,3.6,12
Regular,FDX39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049435598,12.867122940430924,209.7586,3.8,8
Regular,FDY38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.119077255,13.6,231.23,3.5,12
Low Fat,NCN07,Others,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.033997473,18.5,129.9284,3.5,8
Low Fat,FDD57,Fruits and Vegetables,2018,OUT013,Tier 2,Small,Supermarket Type1,0.022526293,18.1,95.0094,4.0,8
Low Fat,NCE31,Household,2018,OUT027,Tier 3,Medium,Supermarket Type1,0.183948465,12.867122940430924,33.6216,4.0,8
Regular,FDR03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.008734284,15.7,207.898,5.0,9
Regular,FDQ49,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.06871772,12.867122940430924,155.563,1.0,8
Low Fat,FDF35,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.154860353,15.0,106.1938,3.9,6
Low Fat,FDF10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.156797787,15.5,148.6418,4.0,12
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Medium,Grocery Store,0.24749009,12.867122940430924,263.1884,5.0,8
Regular,FDR57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023496967,5.675,156.1288,4.3,10
Low Fat,NCN55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05934663,14.6,238.3538,4.0,11
Low Fat,NCV30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065932087,20.2,64.851,4.3,10
LF,FDI22,Soft Drinks,2017,OUT035,Tier 2,Medium,Supermarket Type1,0.071064499,7.27,114.4518,5.0,9
Regular,FDU28,Frozen Foods,2018,OUT019,Tier 1,Medium,Grocery Store,0.164438907,12.867122940430924,188.4214,4.0,8
Low Fat,FDU25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026681262,12.35,56.4246,3.9985355648535563,10
Regular,FDY03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076431919,17.6,113.2202,4.2,4
Low Fat,FDN09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.034868095,14.15,243.7828,4.0,9
Low Fat,FDA20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066724663,6.78,187.724,4.0,14
Regular,FDM58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.080141165,16.85,111.4544,4.0,6
Regular,FDQ32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04679836,17.85,123.8388,4.2,4
Low Fat,DRJ59,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.867122940430924,39.0164,4.4,8
Low Fat,FDO57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.05934663,12.867122940430924,159.4578,3.4,8
Low Fat,FDW59,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.020698674,13.15,86.3566,5.0,12
Regular,FDI21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.056833394,5.59,61.9168,4.2,4
Low Fat,NCR53,Fruits and Vegetables,2018,OUT019,Tier 3,Small,Grocery Store,0.253947823,12.867122940430924,223.8404,3.9,8
Low Fat,DRJ37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.061101383,10.8,151.9024,4.0,10
Low Fat,FDO44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087436672,12.6,109.9228,5.0,9
Regular,FDV01,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.0,19.2,153.3314,4.2,6
low fat,FDI22,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.033287541,12.85,198.4768,3.3,11
Low Fat,NCV05,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.030379382,10.1,153.4656,4.0,6
Low Fat,FDO15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.008525061,12.867122940430924,72.5038,4.0,8
Low Fat,FDK51,Dairy,2018,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,264.5884,5.0,8
Regular,FDW02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037699423,4.805,125.5704,4.0,10
Low Fat,FDM34,Snack Foods,2016,OUT046,Tier 3,Small,Supermarket Type1,0.067447572,19.0,132.9626,4.3,10
Low Fat,FDO50,Canned,2012,OUT013,Tier 1,Medium,Supermarket Type1,0.078290271,16.25,93.1804,3.8,14
Low Fat,DRF27,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02827966,12.867122940430924,152.234,4.3,8
Low Fat,DRH36,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,16.2,73.4696,3.4,12
Low Fat,FDN46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.144511119,7.21,100.5332,3.0,12
Low Fat,FDO57,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.108930629,20.75,160.9578,4.0,11
Low Fat,FDV39,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.007273831,11.3,196.6426,4.0,12
Low Fat,FDR14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.174049032,11.65,52.9298,4.0,10
Regular,FDT07,Fruits and Vegetables,2016,OUT046,Tier 1,Medium,Supermarket Type1,0.077319079,5.82,255.433,4.4,10
Low Fat,FDW28,Frozen Foods,2018,OUT018,Tier 3,Medium,Supermarket Type2,0.089186083,18.25,194.3452,4.0,8
Low Fat,FDC20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024107056,10.65,56.6272,4.0,6
Regular,FDS04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.146540889,10.195,141.7838,4.0,12
Low Fat,NCZ06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09370568,12.867122940430924,253.8698,4.5,8
Low Fat,FDY25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.034166609,12.0,181.2976,4.2,6
Low Fat,FDM34,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.112893408,19.0,131.0626,4.0,15
Low Fat,DRK39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,7.02,83.825,2.7,6
Regular,FDL03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.027233781,19.25,197.511,4.0,6
Low Fat,FDS03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.079952983,7.825,62.7826,4.0,4
Low Fat,NCP29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.112249781,8.42,64.3168,4.0,9
Regular,FDR44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.103340142,6.11,131.2968,4.0,4
Low Fat,FDI22,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.130321652,12.867122940430924,88.7172,3.5,8
Low Fat,FDS07,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.099757833,12.35,113.9518,4.0,10
Low Fat,FDV25,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04572322,5.905,222.1456,4.0,14
Low Fat,NCK19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.090834158,9.8,192.2478,1.0,4
Regular,FDZ26,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.144832027,11.6,239.8222,4.0,6
Low Fat,FDS03,Meat,2017,OUT035,Tier 3,Small,Supermarket Type1,0.079613553,7.825,65.0826,4.1,9
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.054565932,20.1,152.2366,5.0,11
Regular,FDR20,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.028282832,20.0,143.9786,4.0,6
Low Fat,FDY58,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.040144377,11.65,228.9694,4.1,6
Regular,FDR52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07603021,12.65,189.0846,4.2,9
Low Fat,FDK57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.079904068,12.867122940430924,120.044,3.7,8
Low Fat,FDY10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048830264,12.867122940430924,113.1176,2.5,8
Low Fat,FDW11,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048545853,12.867122940430924,60.1194,4.0,8
LF,FDW58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.007551665,20.75,107.1622,3.8,9
Low Fat,FDG08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.289522833,12.867122940430924,172.0764,4.3,8
Low Fat,NCQ06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.041789718,13.0,256.1014,4.0,12
LF,FDP24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.083133128,20.6,120.1756,4.0,14
Low Fat,FDW25,Canned,2017,OUT035,Tier 2,Medium,Supermarket Type1,0.037391881,5.175,83.2224,3.9985355648535563,9
Low Fat,NCW53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030542489,18.35,193.1162,4.0,14
Regular,FDT16,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05934663,9.895,260.5278,4.0,11
Low Fat,FDI22,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.058153409,12.867122940430924,152.034,4.0,8
Regular,FDX56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.129668578,12.867122940430924,206.8638,4.3,8
Regular,FDS22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.023201857,12.867122940430924,45.9428,4.2,11
Low Fat,FDT13,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.032516546,12.867122940430924,188.8214,4.0,8
Low Fat,NCP53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.032862976,14.75,238.6906,4.0,12
Regular,FDI22,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.158715731,12.35,157.2946,4.3,14
Low Fat,FDI22,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.141325834,12.867122940430924,265.0884,4.0,9
Low Fat,FDJ52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05934663,7.145,161.3578,3.9,11
Low Fat,NCV41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.017135155,14.35,109.8228,4.4,6
